,Country,Deaths per million,drop_start_deaths,drop_end_deaths,drop_start_cases,drop_end_cases,Cases per million,drop_duration,retail,grocery and pharmacy,transit,work,residential
30,Nigeria,"[0.010210607044073167, 0.01385725241695644, 0.03938377002713936, 0.04375974447459928, 0.02479718853560626]",0.0007293290745766547,0.0029173162983066186,0.02990249205764284,0.09845942506784838,"[0.2982955915018518, 0.546996805932491, 1.0341886277496966, 1.3397775099973148, 1.1771371263667207]",12,-49.57142857142857,-35.857142857142854,-47.857142857142854,-43.285714285714285,24.571428571428573
31,Norway,"[1.2903103712567021, 1.3440733033923982, 1.0483771766460703, 0.8870883802389827, 0.18817026247493573]",0.0,0.16128879640708776,11.639674807378166,27.392213923137074,"[36.1555718612555, 17.92993786725459, 15.403080056876883, 11.209571350292599, 7.688099295404516]",10,-48.142857142857146,-15.857142857142858,-52.0,-45.0,16.857142857142858
32,Pakistan,"[0.048468359124772105, 0.0740488819961796, 0.11040015133975867, 0.13530750255665544, 0.1454050773743163]",0.0020195149635321707,0.008078059854128683,0.319083364238083,0.49680068102891406,"[1.8128512655973787, 3.0016724074633165, 4.156161794949208, 6.300886686220373, 7.623668987333945]",10,-69.14285714285714,-52.57142857142857,-59.57142857142857,-58.42857142857143,22.571428571428573
33,Panama,"[1.1286638866649081, 1.333875502422164, 1.333875502422164, 1.1970677585839935, 1.5048851822198774]",0.03420193595954267,0.6840387191908535,1.470683246260335,24.96741325046615,"[48.293133574874254, 36.49346566883202, 44.87293997891998, 48.49834519063151, 42.78662188538788]",15,-80.0,-53.857142857142854,-75.0,-68.14285714285714,37.857142857142854
34,Peru,"[0.4823047909764275, 0.7457861119728092, 1.571956355775023, 2.232892550816794, 2.7419920524030226]",0.0,0.03126049571143511,0.18756297426861068,1.3352697453884428,"[22.784435588534564, 33.814924789569524, 48.726181243924074, 76.82490110340261, 100.39531486982467]",10,-82.85714285714286,-59.857142857142854,-83.71428571428571,-72.0,37.857142857142854
35,Philippines,"[0.11921290752065128, 0.2116363976209315, 0.1366260288438925, 0.12457079100472551, 0.14332338319898527]",0.0,0.02812888829138963,0.040184126130556615,0.4889068679217722,"[2.2503110633111705, 1.95428800081607, 1.8431119185215301, 1.8203409137142146, 2.311926723378024]",14,-73.28571428571429,-46.285714285714285,-77.85714285714286,-62.857142857142854,29.714285714285715
36,Poland,"[0.41376741718208165, 0.5679898181317666, 0.6093665598499748, 0.5905589499780619, 0.47019024679782007]",0.00752304394876512,0.011284565923147681,0.23697588438610132,1.3428633448545741,"[9.674634518111946, 9.117929265903326, 9.452704721623375, 8.324248129308607, 8.50480118407897]",7,-54.714285714285715,-25.714285714285715,-51.42857142857143,-32.714285714285715,14.857142857142858
37,Portugal,"[2.9038935988931525, 2.9177878266390525, 2.9733647376226537, 1.8757207456965337, 1.0003843977048181]",0.0,0.5696633375819102,2.9872589653685537,32.693117886103295,"[73.73666664749263, 50.31099866790481, 50.574988995076914, 23.31451415762062, 28.580426473316813]",10,-75.57142857142857,-44.0,-72.57142857142857,-58.714285714285715,30.142857142857142
38,Romania,"[0.9096407482434838, 1.195737435191031, 0.9976704980734983, 1.2250806851343694, 1.342453684907722]",0.0,0.27142506197587823,0.3007683119192164,10.094077980508336,"[16.879704529905293, 18.009419652723814, 18.29551633967136, 16.637622717872752, 15.617944782341752]",19,-71.71428571428571,-45.714285714285715,-66.14285714285714,-46.857142857142854,19.714285714285715
39,Saudi_Arabia,"[0.11021636663955924, 0.16956364098393728, 0.16956364098393728, 0.17804182303313415, 0.2543454614759059]",0.0,0.03391272819678745,0.34336637299247297,3.777030102917203,"[7.486234749440831, 14.798666766873126, 33.74316455580352, 38.13062376626289, 48.05009676382323]",17,-56.857142857142854,-23.714285714285715,-75.85714285714286,-41.857142857142854,22.0
40,Serbia,"[0.5524343243568621, 0.8184212212694253, 0.7570396296742183, 0.7161185686107471, 0.4296711411664483]",0.0,0.1841447747856207,1.1457897097771954,10.434870571185172,"[37.93382360583786, 52.70632664975099, 33.65757272470511, 26.23040014168508, 12.665068399144356]",12,-69.71428571428571,-35.857142857142854,-70.14285714285714,-55.57142857142857,21.571428571428573
41,South_Africa,"[0.03461427975420123, 0.07170100806227397, 0.08159080227776004, 0.10878773637034672, 0.15576425889390552]",0.0,0.007417345661614548,0.1211499791397043,1.3227599763212612,"[1.2807283509054455, 2.4353618255634437, 3.4317585927736647, 5.530867415010582, 7.990953726112741]",18,-74.85714285714286,-51.714285714285715,-78.85714285714286,-68.0,33.57142857142857
42,Spain,"[16.005931862555443, 12.96373468906114, 9.313098080867979, 7.032214571896373, 4.363030519172228]",0.24765625231461139,4.378317942154611,16.592968905078965,91.02437392170735,"[112.93430854005926, 81.50336688827896, 47.80071418131648, 33.042236034123526, 20.326157597376994]",10,-86.85714285714286,-47.285714285714285,-78.85714285714286,-62.285714285714285,26.428571428571427
43,Sweden,"[7.210773793887607, 8.753935500750712, 9.553573839761595, 6.6917103106700155, 7.729837277105196]",0.014028742789664603,0.3928047981106089,10.703930748514093,15.501760782579387,"[52.018578264076346, 51.49951478085876, 61.095174848989345, 54.78224059364028, 53.856343569522416]",10,-24.857142857142858,-5.571428571428571,-35.0,-23.714285714285715,9.571428571428571
44,Switzerland,"[4.88125622936778, 4.6799673126928205, 3.6567486529284405, 2.3148225417620405, 1.0903149653227002]",0.16774076389580003,1.1238631181018601,18.3676136465901,102.97605495563164,"[77.47945884347004, 41.96873912672917, 24.976599744084627, 15.482472507582344, 7.279949153077721]",10,-70.14285714285714,-18.857142857142858,-56.714285714285715,-44.57142857142857,20.428571428571427
45,Turkey,"[1.2755144805879088, 1.47161398576673, 1.1852740003286282, 0.8104289284823855, 0.6351541495172444]",0.006941575404560047,0.22733659449934157,0.6230063925592643,16.13569202789983,"[55.37815318372892, 47.89166410991091, 31.95554237489218, 23.45731868585954, 19.137923390372052]",11,-61.285714285714285,-24.857142857142858,-59.0,-43.57142857142857,19.428571428571427
46,United_Arab_Emirates,"[0.11866493698676764, 0.2818292253435732, 0.43016039657703276, 0.69715650479726, 0.9344863787707952]",0.0,0.05933246849338382,0.9493194958941411,4.909761767827511,"[34.65016160013615, 36.563633709047785, 51.26325277828362, 55.72802103241075, 55.69835479816407]",19,-61.57142857142857,-31.857142857142858,-72.57142857142857,-47.285714285714285,25.571428571428573
47,United_Kingdom,"[13.703664974294123, 13.740190892224978, 12.120159002821127, 9.660031001007585, 7.425504257002272]",0.05586316860013283,4.118834392555947,2.0067769027893867,36.68276451961799,"[79.68666142468179, 75.68599911954921, 73.39560920694375, 72.80045160301157, 70.90325245401475]",17,-77.0,-32.857142857142854,-71.85714285714286,-63.857142857142854,24.285714285714285
48,United_States_of_America,"[3.8494924633255865, 5.747166493000383, 8.298939854578734, 5.803930787491345, 5.555477836988594]",0.008296319964063764,0.3929835772451257,0.3929835772451257,26.102405849040412,"[91.34291945276122, 92.00487845620967, 94.10865053972857, 81.8899178263393, 83.78933844969075]",15,-37.285714285714285,-5.714285714285714,-41.857142857142854,-36.57142857142857,15.571428571428571
